"BC7" "Males" "Females" "DateDDMMYY" "TimeHHMM" "ScanYYMMDDHHMM" "ScanExperimenter"
"381" "2800534" "10" "6" "131122" "1200" "1200" "022"
"382" "2800549" "5" "10" "131122" "1202" "1202" "022"
"383" "2800554" "2" "2" "131122" "1207" "1207" "022"
"384" "2800569" "14" "14" "131122" "1208" "1208" "022"
"385" "2800594" "19" "16" "131122" "1211" "1211" "022"
"386" "2800545" "2" "2" "131122" "1212" "1212" "022"
"387" "2800426" "4" "2" "131122" "1212" "1212" "022"
"388" "2800447" "2" "1" "131122" "1213" "1213" "022"
"389" "2800488" "1" "8" "131122" "1214" "1214" "022"
"390" "2800449" "2" "2" "131122" "1215" "1215" "022"
"391" "2800606" "6" "7" "141122" "1138" "1138" "022"
"392" "2800611" "1" "0" "141122" "1139" "1139" "022"
"393" "2800626" "1" "0" "141122" "1140" "1140" "022"
"394" "2800631" "3" "10" "141122" "1141" "1141" "022"
"395" "2800646" "2" "0" "141122" "1142" "1142" "022"
"396" "2800651" "0" "1" "141122" "1142" "1142" "022"
"397" "2800666" "3" "2" "141122" "1143" "1143" "022"
"398" "2800686" "1" "5" "141122" "1144" "1144" "022"
"399" "2800691" "1" "4" "141122" "1145" "1145" "022"
"400" "2800607" "1" "0" "141122" "1146" "1146" "022"
"401" "2800612" "0" "6" "141122" "1147" "1147" "022"
"402" "2800627" "3" "5" "141122" "1148" "1148" "022"
"403" "2800632" "1" "0" "141122" "1149" "1149" "022"
"404" "2800647" "10" "12" "141122" "1151" "1151" "022"
"405" "2800667" "12" "5" "141122" "1152" "1152" "022"
"406" "2800672" "2" "2" "141122" "1153" "1153" "022"
"407" "2800687" "3" "3" "141122" "1154" "1154" "022"
"408" "2800608" "3" "3" "141122" "1156" "1156" "022"
"409" "2800613" "2" "1" "141122" "1156" "1156" "022"
"410" "2800628" "6" "4" "141122" "1158" "1158" "022"
"411" "2800638" "11" "4" "141122" "1159" "1159" "022"
"412" "2800648" "1" "0" "141122" "1200" "1200" "022"
"413" "2800653" "1" "1" "141122" "1205" "1205" "022"
"414" "2800673" "8" "11" "141122" "1206" "1206" "022"
"415" "2800688" "1" "1" "141122" "1207" "1207" "022"
"416" "2800693" "2" "2" "141122" "1208" "1208" "022"
"417" "2800609" "1" "1" "141122" "1208" "1208" "022"
"418" "2800614" "1" "0" "141122" "1209" "1209" "022"
"419" "2800629" "2" "1" "141122" "1210" "1210" "022"
"420" "2800634" "2" "1" "141122" "1210" "1210" "022"
"421" "2800669" "2" "0" "141122" "1211" "1211" "022"
"422" "2800674" "2" "4" "141122" "1212" "1212" "022"
"423" "2800689" "1" "1" "141122" "1213" "1213" "022"
"424" "2800694" "8" "7" "141122" "1215" "1215" "022"
"425" "2800506" "13" "23" "141122" "1218" "1218" "022"
"426" "2800526" "0" "1" "141122" "1219" "1219" "022"
"427" "2800546" "7" "4" "141122" "1220" "1220" "022"
"428" "2800566" "20" "21" "141122" "1223" "1223" "022"
"429" "2800586" "19" "21" "141122" "1226" "1226" "022"
"430" "2800699" "5" "11" "141122" "1228" "1228" "022"
"431" "2800679" "1" "0" "141122" "1229" "1229" "022"
"432" "2800659" "1" "0" "141122" "1229" "1229" "022"
"433" "2800619" "1" "3" "141122" "1230" "1230" "022"
"434" "2800678" "1" "3" "141122" "1230" "1230" "022"
"435" "2800697" "0" "3" "141122" "1231" "1231" "022"
"436" "2800657" "2" "4" "141122" "1232" "1232" "022"
"437" "2800617" "3" "3" "141122" "1233" "1233" "022"
"438" "2800636" "2" "2" "141122" "1233" "1233" "022"
"439" "2800616" "1" "0" "141122" "1234" "1234" "022"
"440" "2800527" "3" "8" "141122" "1242" "1242" "022"
"441" "2800547" "2" "1" "141122" "1243" "1243" "022"
"442" "2800567" "15" "5" "141122" "1245" "1245" "022"
"443" "2800587" "6" "2" "141122" "1246" "1246" "022"
"444" "2800508" "12" "14" "141122" "1249" "1249" "022"
"445" "2800528" "11" "16" "141122" "1251" "1251" "022"
"446" "2800548" "8" "8" "141122" "1253" "1253" "022"
"447" "2800568" "16" "25" "141122" "1258" "1258" "022"
"448" "2800588" "12" "16" "141122" "1300" "1300" "022"
"449" "2800514" "5" "3" "141122" "1302" "1302" "022"
"450" "2800529" "15" "8" "141122" "1304" "1304" "022"
"451" "2800534" "6" "6" "141122" "1305" "1305" "022"
"452" "2800549" "17" "8" "141122" "1307" "1307" "022"
"453" "2800519" "1" "4" "141122" "1307" "1307" "022"
"454" "2800554" "4" "7" "141122" "1313" "1313" "022"
"455" "2800569" "3" "4" "141122" "1314" "1314" "022"
"456" "2800574" "1" "0" "141122" "1315" "1315" "022"
"457" "2800594" "0" "2" "141122" "1315" "1315" "022"
"458" "2800589" "1" "1" "141122" "1316" "1316" "022"
