"Line" "Population" "Treatment" "Setup" "Sex" "Embryo" "Total_Flies" "Dates" "Counts"
"230" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.20" 1
"231" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.21" 0
"232" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.22" 0
"233" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.23" 0
"234" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.24" 0
"235" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.25" 0
"236" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.26" 0
"237" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.27" 0
"238" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.28" 0
"239" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.12" 0
"240" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.13" 0
"241" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.14" 0
"242" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.15" 0
"243" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.16" 3
"244" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.17" 5
"245" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.18" 4
"246" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.19" 1
"247" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.20" 0
"248" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.21" 0
"249" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.22" 0
"250" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.23" 0
"251" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.24" 0
"252" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.25" 0
"253" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.26" 0
"254" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.27" 0
"255" 10 "9C" "10mM" "2021-12-01" "M" 25 13 "X2021.12.28" 0
"256" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.12" 0
"257" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.13" 0
"258" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.14" 0
"259" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.15" 0
"260" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.16" 2
"261" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.17" 3
"262" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.18" 0
"263" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.19" 2
"264" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.20" 1
"265" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.21" 0
"266" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.22" 0
"267" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.23" 1
"268" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.24" 0
"269" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.25" 0
"270" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.26" 0
"271" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.27" 0
"272" 10 "9C" "10mM" "2021-12-01" "F" 25 9 "X2021.12.28" 0
"273" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.12" 0
"274" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.13" 0
"275" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.14" 1
"276" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.15" 3
"277" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.16" 3
"278" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.17" 0
"279" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.18" 1
"280" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.19" 0
"281" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.20" 0
"282" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.21" 0
"283" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.22" 0
"284" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.23" 0
"285" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.24" 0
